algorithm,seed,runtime_s,objective_calls,pareto_size,best_raroc,best_cvar,hv,igd,na_triggers,na_evals,accepted_moves
SA-NA,1,0.04326295852661133,800,2,0.8664195045462,989920.7826382612,0.8156250024046158,0.18126733542739734,11.0,220.0,471.0
SA-NA,2,0.0416412353515625,800,6,0.7887047920129285,690319.3370929502,0.7930276713590587,0.21047856316084926,11.0,220.0,460.0
SA-NA,3,0.041980743408203125,800,1,0.9598819439664792,1112724.6789986626,0.8444074571819822,0.15448357039202437,17.0,322.0,388.0
SA-NA,4,0.03856992721557617,800,2,0.9186124780852252,429979.901548686,0.8602742754886062,0.15383645452685268,13.0,259.0,430.0
SA-NA,5,0.039505958557128906,800,1,0.8953189911692122,1314706.7864404733,0.811876379473064,0.1742580094313417,7.0,140.0,493.0
SA-NA,6,0.04347801208496094,800,3,0.7912726003218686,567529.7997409035,0.7948480142098918,0.20377118359942042,19.0,376.0,351.0
SA-NA,7,0.0395960807800293,800,2,0.7978540674607235,527906.609586911,0.8101366010485109,0.2002768052667537,10.0,186.0,492.0
SA-NA,8,0.03897285461425781,800,1,0.7866230985840853,350147.0722725418,0.8138851988582677,0.20548123784007277,14.0,266.0,423.0
SA-NA,9,0.04829287528991699,800,1,0.8342133303921568,573411.1020913825,0.8221899953676675,0.18825213990314446,20.0,386.0,330.0
SA-NA,10,0.03633308410644531,800,2,0.8097647280544215,315472.47019137046,0.8236513334817468,0.19622283721040912,9.0,179.0,497.0
SA-only,1,0.03998994827270508,800,2,0.6584797121283771,834912.8510633799,0.7453191296954367,0.24564147265102404,0.0,0.0,617.0
SA-only,2,0.04008913040161133,800,1,0.5383686704657267,348448.99811815703,0.7198848918035515,0.28800947138561706,0.0,0.0,611.0
SA-only,3,0.03917884826660156,800,3,0.6128350596087527,1495615.5814103545,0.6932150922290399,0.293714513311154,0.0,0.0,600.0
SA-only,4,0.03872370719909668,800,2,0.9948764345399218,283462.2432967963,0.8959109486714836,0.1384501113310593,0.0,0.0,611.0
SA-only,5,0.040775299072265625,800,2,1.048549242912024,432494.1670319079,0.9091917944092283,0.13004455808033485,0.0,0.0,576.0
SA-only,6,0.040206193923950195,800,2,0.7925086776590712,1347453.5360720605,0.7729078208630231,0.21059511267514047,0.0,0.0,617.0
SA-only,7,0.040367841720581055,800,1,0.7234265463274824,484194.7674824322,0.7843942763492294,0.22523394452217044,0.0,0.0,607.0
SA-only,8,0.039624929428100586,800,2,0.5631483279928391,405496.02681939467,0.7270962074915674,0.278970152664829,0.0,0.0,607.0
SA-only,9,0.04072308540344238,800,2,1.158302441478782,351430.3295714008,0.9546514145593789,0.11822484440150229,0.0,0.0,608.0
SA-only,10,0.03791093826293945,800,2,0.5020273037739763,340630.05074987863,0.7064029374703952,0.30012542701875117,0.0,0.0,608.0
NSGA-II,1,0.06850099563598633,800,6,1.1520235925829134,4266834.929528511,0.7433989209177755,0.25853483223633544,,,
NSGA-II,2,0.08403730392456055,800,2,1.2109742177506095,3160656.9265530533,0.8286482230608488,0.17364912269685545,,,
NSGA-II,3,0.06862211227416992,800,5,1.1200992462312112,4337851.300095438,0.7241474647718427,0.26461411978431354,,,
NSGA-II,4,0.06634902954101562,800,7,0.9105811603224989,4314763.354934305,0.6701584367665321,0.3165981059271858,,,
NSGA-II,5,0.06772184371948242,800,2,1.3308306770260854,4104437.3235574276,0.8002718853528025,0.2426750374408353,,,
NSGA-II,6,0.0657961368560791,800,3,1.4105943943608061,4935712.541679051,0.7963333882267835,0.23484501395389587,,,
NSGA-II,7,0.06703591346740723,800,4,1.1751985380370193,4090776.1015456854,0.7495652618898655,0.262620257462638,,,
NSGA-II,8,0.06700491905212402,800,3,1.820934935817823,1618494.4891669706,1.1102567730808355,0.082274037548807,,,
NSGA-II,9,0.06621885299682617,800,3,1.1025990811764832,3453559.794026941,0.7517204742510013,0.2542756478426284,,,
NSGA-II,10,0.06601619720458984,800,3,1.2599947702742635,4354612.925278715,0.7811809478960662,0.22233115153577526,,,
MOEA/D,1,0.17391109466552734,800,57,0.9120503876166957,7308674.148415953,0.5430122943207112,0.41366880487522184,,,
MOEA/D,2,0.16813087463378906,800,59,1.0175239821242923,4641207.00018922,0.697756084275633,0.26123402363346254,,,
MOEA/D,3,0.16165995597839355,800,28,0.7670902446585803,6561643.402304157,0.5411476099774192,0.3943002631073054,,,
MOEA/D,4,0.1679680347442627,800,64,0.503234600363016,8141320.500372801,0.4180537904698062,0.5014922808647784,,,
MOEA/D,5,0.16710114479064941,800,35,0.6801623066510837,8081441.271136561,0.46032377967560884,0.4617873129630955,,,
MOEA/D,6,0.1647651195526123,800,69,0.17940864896902778,8273034.89039064,0.3309902762339567,0.6057344328979706,,,
MOEA/D,7,0.16361689567565918,800,100,0.13300168772764495,4730439.9530593,0.22153796643698453,0.734538638849094,,,
MOEA/D,8,0.16257500648498535,800,30,1.344986142118217,4361274.53344373,0.8098383030824611,0.20629540247638656,,,
MOEA/D,9,0.16356205940246582,800,20,0.6145977488303898,2663957.5112331,0.656372728909016,0.29454537305505074,,,
