algorithm,metric,mean,std
MOEA/D,runtime_s,0.16544821262359619,0.0038872827416090256
NSGA-II,runtime_s,0.06873033046722413,0.005468973149679374
SA-NA,runtime_s,0.04116337299346924,0.0033590923601936095
SA-only,runtime_s,0.03975899219512939,0.0009151218875395299
SPEA2,runtime_s,0.07535550594329835,0.0010012433983642623
MOEA/D,objective_calls,800.0,0.0
NSGA-II,objective_calls,800.0,0.0
SA-NA,objective_calls,800.0,0.0
SA-only,objective_calls,800.0,0.0
SPEA2,objective_calls,800.0,0.0
MOEA/D,pareto_size,50.5,24.13503677229434
NSGA-II,pareto_size,3.8,1.6865480854231358
SA-NA,pareto_size,2.1,1.5238839267549948
SA-only,pareto_size,1.9,0.5676462121975466
SPEA2,pareto_size,4.6,1.5055453054181622
MOEA/D,best_raroc,0.7064173649864477,0.3726457046338156
NSGA-II,best_raroc,1.2493830613579715,0.24242088751130958
SA-NA,best_raroc,0.8448665534593301,0.06204974533887679
SA-only,best_raroc,0.7592522416886953,0.23234220636288674
SPEA2,best_raroc,1.2633039693148371,0.19348525923120638
MOEA/D,best_cvar,6054783.181320773,1926464.6500085667
NSGA-II,best_cvar,3863769.9686366096,930588.3485503292
SA-NA,best_cvar,687211.8540602142,339456.60604147677
SA-only,best_cvar,632413.8551615763,444387.97950030555
SPEA2,best_cvar,3787995.149496661,1064466.621716153
MOEA/D,hv,0.5294145784954729,0.17704250853629702
NSGA-II,hv,0.7955681776214354,0.11922991157529063
SA-NA,hv,0.8189921928873412,0.02056332480728654
SA-only,hv,0.7908974513542334,0.09432485042641243
SPEA2,hv,0.7982645914125786,0.096041905949223
MOEA/D,igd,0.4204520076584104,0.1622985220619426
NSGA-II,igd,0.23124173264292702,0.06358799545248764
SA-NA,igd,0.18683281367582658,0.020518433487548695
SA-only,igd,0.22290096080415825,0.07129469690873395
SPEA2,igd,0.2323820253288535,0.06906970745324396
