企业名称,活力程度(Li),销售能力(Ii),合作能力(Ci),营销能力(Si),被退货率(Ei)
Ecolab Inc.,1.110450007,0.084226743,0.733586073,0.127138406,1.660875627
SM Energy Company,0.628873632,-0.036043404,0.358397811,0.612562471,1.968985469
"Estee Lauder Companies, Inc. (The)",1.814117647,0.088644085,1.473229182,0.115927108,2.412367362
Signet Jewelers Limited,3.981177899,0.071432933,1.011707649,0.067677323,1.115333094
"Kinder Morgan, Inc.",0.58975165,0.06323185,0.195028727,0.275298903,1.441542435
"Oceaneering International, Inc.",2.48364361,0.010823194,0.725678726,0.149903834,1.063976163
Corning Incorporated,2.938521677,0.146965207,0.31915788,0.308308638,0.519427294
EQT Corporation,2.828556493,0.050386308,0.12094585,0.719929482,1.752411826
Embraer S.A.,2.081417998,0.011673217,0.507999486,0.145493497,2.091453311
"Berry Global Group, Inc.",1.954678363,0.012265978,0.90496592,0.099849365,-25.32876712
Nokia Corporation,1.459241,-0.072833166,0.441044055,0.105460922,1.877284595
LyondellBasell Industries NV,2.141806143,0.091519032,1.878186386,0.132608314,1.920736108
ENI S.p.A.,1.370992201,-0.025699822,0.455200931,0.135342988,1.347342421
Chesapeake Energy Corporation,0.672998643,-1.15050141,0.735380538,0.096678157,7.118334892
Seagate Technology PLC,1.855327751,0.04657734,1.189268293,0.115212834,2.7454324
Laboratory Corporation of America Holdings,1.353232863,0.10281412,0.83464312,0.14835843,1.500551998
Devon Energy Corporation,1.380973583,0.410686223,0.278570907,0.543390955,0.918665422
American States Water Company,1.074408738,0.131876566,0.340086757,0.207449835,1.894333022
PACCAR Inc.,1.930977971,0.068401873,0.826218909,0.138736729,2.123991981
Oshkosh Corporation,1.849351778,0.041486739,1.608389114,0.057142112,1.260983015
Stryker Corporation,2.267770482,0.144681279,0.612174555,0.090388096,0.90894137
AGCO Corporation,1.326210305,0.035675545,1.148585667,0.070199403,1.290561251
CMS Energy Corporation,1.097091531,0.0638167,0.395271092,0.179763186,4.4332893
AGCO Corporation,1.606365576,0.05536345,1.278250462,0.073885917,1.104333948
"Air Products and Chemicals, Inc.",1.1119811,0.094999521,0.587150081,0.209445349,1.413736458
Transocean Ltd.,1.591777188,-0.20852409,0.322880372,0.241988228,1.078341014
Chemed Corp.,0.617210552,0.054641913,1.581433835,0.106731695,0.990913141
Silgan Holdings Inc.,1.745163287,0.049996522,1.116659571,0.094567426,3.652398357
American States Water Company,2.10948736,0.131084542,0.337946511,0.350522015,1.719603947
Parker-Hannifin Corporation,1.571269043,0.072867899,1.037860606,0.091499853,1.185424714
"Amkor Technology, Inc.",1.293950799,0.019694911,0.715551559,0.200355127,2.337492125
Flex Ltd.,1.325858908,0.020788722,2.465361494,0.029893523,4.069583073
California Resources Corporation,0.585399449,0.180349063,0.243468681,0.084033613,-12.40754039
Entravision Communications Corporation,2.732216314,-0.042181938,0.415979594,0.090593428,-25.32876712
Duke Energy Corporation,0.69595706,0.094622521,0.171307839,0.298905158,2.235469013
Lattice Semiconductor Corporation,6.558818688,0.132686199,0.717150804,0.109584925,0.15773003
Chesapeake Energy Corporation,0.662919311,0.041357249,0.418984252,0.263566777,1.61219131
"QEP Resources, Inc.",1.452306733,-0.240657216,0.073681087,0.775289948,1.134172598
MGIC Investment Corporation,10.32480329,-0.32300657,0.20845774,-0.101350521,5.029528373
Transocean Ltd.,1.792806294,0.107094503,0.280527175,0.466422962,0.816043592
FirstEnergy Corp.,0.495463511,0.050316931,0.30359481,0.151604261,2.852491593
Comcast Corporation,0.777197013,0.121846601,0.431626909,0.246383133,2.022879475
HP Inc.,1.085094073,-0.105103982,1.106547882,0.087830371,3.847922981
Accenture plc,1.348837089,0.118165758,1.688468836,0.131477659,1.727768276
Crane Co.,1.936300284,0.010336361,0.895318883,0.058845179,2.495200681
ManpowerGroup,1.475659229,0.02168661,2.571320253,0.026461596,1.864136854
