Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/29/2014,Capital Goods,1.492419434,1.129821592,0.45285946,74.10280374,0.100473691,0.138573806,0.273742158,0.138573806,0.086365137,0.173161835,0.224652201,0.859579619,7.399583175,1.601190817,0.615560691,0.267923134,0.781545559,4.308240081,10.29120041,2.601190817,0.138573806,10.89799844,5.512461851,0.110997311,5.482025512
A,Honeywell International Inc.,HON,Moody's Investors Service,2/16/2016,Capital Goods,1.091557346,0.850960753,0.296935387,76.39446878,0.123584148,0.170705788,0.306731293,0.170705788,0.096682618,0.212829213,0.260788711,0.782322167,6.664536189,1.697369141,0.629268392,0.264044944,0.80326366,5.618107207,9.692228777,2.697369141,0.170705788,10.36290293,6.994101052,0.141364921,4.793369176
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/21/2015,Capital Goods,1.502132268,1.155080214,0.471062073,72.08356076,0.105170446,0.144345755,0.281570982,0.144345755,0.093265275,0.189647304,0.240074758,0.88680117,7.487646294,1.574106587,0.611515698,0.255929873,0.782245223,5.010198878,11.6063233,2.574106587,0.144345755,10.84723821,6.404895461,0.124646455,5.397390494
A,AT&T Inc.,T,Egan-Jones Ratings Company,10/28/2014,Public Utilities,0.859074084,0.627112279,0.230754788,40.0337871,0.046992382,0.075199891,0.542375441,0.08868453,0.021254725,0.038975218,0.071602779,0.452301514,1.1731563,2.368793429,0.703157816,0.345582329,0.32353692,1.947934678,1.700864553,3.368793429,0.075199891,8.155255005,6.02074928,0.236607851,2.569133605
A,AT&T Inc.,T,Moody's Investors Service,6/15/2012,Public Utilities,0.747775541,0.666006365,0.103429239,39.18933422,0.031123001,0.052997483,0.547248724,0.072741333,0.01458882,0.028035901,0.03727894,0.468747226,1.183364928,1.555308752,0.608657858,0.377010125,0.419591318,2.45242915,1.164473684,2.555308752,0.052997483,8.53399239,5.844804318,0.273415244,2.889213415
BBB,AT&T Inc.,T,Standard & Poor's Ratings Services,10/24/2016,Public Utilities,0.758640462,0.479595065,0.114441632,37.42572625,0.076947969,0.12096272,0.885478612,0.148651289,0.031209372,0.05608572,0.101547015,0.405590596,1.311347569,2.25373459,0.692660857,0.327024026,0.453131354,2.890402075,1.209792477,3.25373459,0.12096272,7.484375822,6.378728923,0.240215891,0.60238294
A,AT&T Inc.,T,Moody's Investors Service,11/28/2012,Public Utilities,0.714317174,0.695441533,0.153144367,36.25253072,0.057002056,0.081916914,0.566716889,0.10199005,0.02667499,0.043400353,0.078364529,0.467965408,1.160950012,1.937752845,0.659603768,0.277804387,0.503139677,3.397862438,1.628857094,2.937752845,0.081916914,8.509777778,6.753318393,0.307421881,2.640476304
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/27/2013,Public Utilities,1.216566404,0.389287367,0.17364646,1.691600943,0.108342142,0.15936255,1.0,0.202536792,0.023218533,0.036934093,0.064481007,0.214307495,0.35397899,1.777135253,0.63991671,0.321683673,0.134127233,1.212464589,4.604815864,2.777135253,0.15936255,10.72918524,9.039660057,0.259451988,0.0
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,5/26/2015,Public Utilities,1.030446007,0.36775572,0.181251669,1.388296761,0.078704284,0.172789969,1.0,0.219770115,0.0155995,0.037761701,0.046067278,0.198203945,0.34156126,1.953125382,0.661375705,0.403725206,0.182508351,1.700141443,5.714285714,2.953125382,0.172789969,11.36246207,9.315417256,0.275276907,3.619110524
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/22/2015,Public Utilities,0.73,0.282894737,0.075175439,0.731275843,0.120039217,0.176350228,1.0,0.228782131,0.023242761,0.0376927,0.070883782,0.193626399,0.309857481,2.0497143,0.672100433,0.320522117,-0.013481126,-0.129682997,4.57925072,3.0497143,0.176350228,10.1303118,9.619596542,0.28458161,3.1925
